pair	exposure	outcome	n_snp	flag_few_snp	flag_egger_intc	flag_q	flag_dir_mismatch	flag_presso	flag_fdr_sig
hpylori_general__atopic	hpylori_general	atopic	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__itp	cagA	itp	14	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hpylori_general__alzheimer	hpylori_general	alzheimer	11	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
vacA__alzheimer	vacA	alzheimer	15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__pancan	catalase	pancan	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__t2d	omp	t2d	4	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
catalase__t2d	catalase	t2d	3	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
ureA__stroke_isch	ureA	stroke_isch	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__ida	catalase	ida	9	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
cagA__pancan	cagA	pancan	14	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
hpylori_general__uc	hpylori_general	uc	11	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ureA__asthma	ureA	asthma	3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__cad	cagA	cad	6	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
ureA__afib	ureA	afib	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__uc	catalase	uc	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vacA__afib	vacA	afib	15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
omp__atopic	omp	atopic	9	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
cagA__crc	cagA	crc	14	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__parkinson	cagA	parkinson	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
groEL__crohn	groEL	crohn	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
catalase__crohn	catalase	crohn	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ureA__ms	ureA	ms	6	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
catalase__alzheimer	catalase	alzheimer	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hpylori_general__itp	hpylori_general	itp	10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
cagA__crohn	cagA	crohn	11	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
cagA__t2d	cagA	t2d	3	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
groEL__ms	groEL	ms	3	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
groEL__itp	groEL	itp	4	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
hpylori_general__crohn	hpylori_general	crohn	11	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
groEL__pancan	groEL	pancan	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
hpylori_general__parkinson	hpylori_general	parkinson	9	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
